id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
76044,69755,Bad Milk,NULL,2000-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76049,40312,Deer Hunting USA,NULL,2000-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76055,71749,Opsys,NULL,2000-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
76058,56726,Pachi-Slot Aruze Ōkoku 4,NULL,2000-12-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76306,75515,Rockman Battle & Fighters,NULL,2000-07-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76451,45807,Caesars Palace 2000: Millennium Gold Edition,NULL,2000-06-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76504,73403,Blue's Clues: Blue's Art Time Activities,NULL,2000-08-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76982,58738,Boong-Ga Boong-Ga,NULL,2000-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76988,19423,X-Squad,NULL,2000-08-03 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
77041,72829,Mia Hamm Soccer 64,NULL,2000-11-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77317,186004,Telefoot Soccer 2000,NULL,2000-03-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77737,39659,Dragon Blaze,NULL,2000-02-01 00:00:00.000,2,NULL,76.0000,1,78.0266,5
78065,71500,AI Wars: The Awakening,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
78182,15186,Imperium Galactica II: Alliances,NULL,2000-04-10 00:00:00.000,3,NULL,NULL,NULL,79.7193,7
78316,122009,Brother 2: Back to America,NULL,2000-11-21 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
78436,72285,King of the Hill,"For those of us who have always wanted to visit Arlen, Texas, but have never been able to organize a trip, now all the thrills come to the home computer with King of the Hill. Inspired by the hit TV show, it features the Hills and their neighbors in 20 different Fourth of July games and activities, such as Barbecue, which Hank Hill says is ""the only cooking that should be done by a man.""",2000-11-13 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
78521,50409,Battle Isle IV: The Andosia War,NULL,2000-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78624,5553,Eldorado Gate Volume 1,NULL,2000-10-10 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
78645,135093,Abenteuer Landtag 2,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
78699,50036,Pocket Pro Wrestling: Perfect Wrestler,NULL,2000-04-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78806,111559,Frogger 2,NULL,2000-09-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78893,61395,Gambling Apocalypse Kaiji,NULL,2000-05-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79061,45051,Sammy Sosa Softball Slam,NULL,2000-03-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79071,37476,Tarepanda no Gunpey,NULL,2000-01-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79084,129764,Monet - The Mystery of the Orangery,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
79291,80821,The Mummy,"Ardeth Bay addresses the player directly, saying that they have released an ancient evil fear for three millennia. The player then takes over as Rick O'Connell, who is situated in the catacombs of Hamunaptra and begins making his way through the tunnels, killing off thieves and taking any artifacts he can find. O’Connell then operates the opening mechanisms for the tunnel doors, wherein he finds more artifacts and more thieves to be defeated, with a new menace coming in the form of scarabs, which are burned away with the torch that O’Connell must light. Going further into the catacombs, O’Connell states that he has a bad feeling and makes his way into a pit, at which point a dried, raspy inhuman voice shouts in ancient Egyptian and mummies erupt from the ground, which are more challenging to kill than the thieves. After dispatching the mummies and escaping the pit, O’Connell goes in further to find more undead minions, these dressed in blue and gold trimmings and prove harder to kill than the mummies, requiring three strikes of the sword. These are defeated, however, and O’Connell encounters more grave robbers before going further into the catacombs, finding a room filled with some treasure pieces which are taken, before moving on to reach another corridor filled with mummies. In time, O’Connell reaches a sarcophagus that is opened, revealing a sword that shines blue. O’Connell then leaves the chamber.",2000-11-17 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
79504,50052,Magical Chase,NULL,2000-09-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79525,69656,Record of Lodoss War,"The game follows the adventures of a hero who has been resurrected by the wizard Wart to defeat Cardice (sometimes transliterated as Kardis or Kardiss), the dark goddess of destruction.",2000-06-29 00:00:00.000,NULL,NULL,NULL,NULL,58.0630,6
79585,38442,Narcissu: Moshimo Ashita ga Runara,NULL,2000-07-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79593,49892,Quest: Brian's Journey,NULL,2000-01-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79597,70493,Buckmasters Deer Hunting,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
79704,146297,Urban Mercenary,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79831,49904,NBA 3 on 3 Featuring Kobe Bryant,NULL,2000-01-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79887,166146,Dotsubo-chan,NULL,2000-09-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79943,43646,All Star Pro Wrestling,NULL,2000-07-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80014,71774,Swedish Touring Car Championship 2,NULL,2000-10-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80143,167097,Shin Ruriiro no Yuki: Furimukeba Tonari ni,NULL,2000-04-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80283,81548,Wacky Races,NULL,2000-06-26 00:00:00.000,NULL,NULL,NULL,NULL,73.6591,5
80386,47001,Putt Putt's One Stop Fun Shop,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80425,43855,Blade Arts: Tasogare no Miyako R'lyeh,NULL,2000-09-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80504,15431,The King of Fighters 2000,"After the incident at the previous tournament, the commander of the Ikari Team, Heidern, is determined to figure out the objective of the Nests cartel so that he can stop them from achieving their ruthless ambition. A fellow commander and long-time friend of Heidern, named Ling, tells the veteran fighter that K′ and Maxima were once operatives of Nests and that they may hold the key to locating the whereabouts of the mysterious organization. Using this information, Heidern decides to focus his efforts in using the next KOF tournament as a way to lure both K' and Maxima out so that they can be captured and interrogated into telling the authorities about the Nests cartel. Unknown to Heidern, however, Ling has his own agenda.",2000-01-21 00:00:00.000,6,NULL,75.0000,1,79.6567,35
80561,37521,Cho Aniki: Otoko no Tamafuda,NULL,2000-03-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80738,91241,Baldur's Gate II: Shadows Of Amn - Collectors Edition,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80839,9282,Messiah,NULL,2000-03-31 00:00:00.000,8,NULL,NULL,NULL,75.8563,10
81022,5885,Powerpuff Girls: Paint the Townsville Green,NULL,2000-11-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81023,65667,BeatMania GB Gotcha Mix 2,NULL,2000-09-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81027,40811,Hyper Force,NULL,2000-09-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81168,167109,Tenkuu No Restaurant,NULL,2000-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81233,4142,ATV Quad Power Racing,NULL,2000-08-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81412,50909,Blue's Art Time Activities,NULL,2000-04-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81421,142763,Lord of the Jungle,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81513,10383,Gunship!,NULL,2000-03-28 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,0
81551,37507,Gomokunarabe & Reversi: Touryuumon,NULL,2000-02-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
